"Geneid","SVG09","SVG10","SVG11","SVG12","SVG13","SVG14"
"Mb2471C",45103,47902,45057,24052,21142,17828
"Mb2959",22492,26693,24894,34854,19793,25029
"Mb0476",46612,32656,37811,19485,14706,17524
"Mb2960",26001,25387,28023,32458,19900,27229
"Mb2864C",31133,33536,29584,21596,14434,12940
"Mb1339",16550,19029,18971,25551,18031,18958
"Mb0290",23214,28213,25226,18010,12671,14821
"Mb1668",10986,9026,9812,17923,18535,15472
"Mb0020C",26495,27041,24766,20702,15998,15423
"Mb3237",24772,25229,24209,16937,15113,12998
"Mb2439C",681,545,533,1157,617,850
"Mb0212C",37799,37107,38094,23949,22580,18641
